Company_Name,JobTitles,Skills,Description,Stipend,Links
ODN Digital Services Private Limited,Research Analyst,"Business Research , Effective Communication","Selected intern's day-to-day responsibilities include: 

1. Research industry trends, market dynamics, and competitive landscapes using a variety of sources such as databases, reports, and online resources.
2. Collect and analyze data to identify patterns, trends, and insights relevant to our business objectives.
3. Assist in the preparation of reports, presentations, and other materials to communicate research findings to internal stakeholders.
4. Support the development of research methodologies and frameworks.
5. Collaborate with cross-functional teams to gather input, validate findings, and ensure alignment with project objectives.
6. Stay up-to-date with emerging trends, technologies, and best practices in research and analysis.
7. Perform ad-hoc research and analysis tasks as assigned by senior team members.
8. Collaborate with clients, understand their brief, and provide insights.. Business Research , Effective Communication","₹ 5,000-10,000 /month",https://internshala.com/internship/detail/research-analyst-internship-in-delhi-at-odn-digital-services-private-limited1709551866
NextGen Techno Ventures Private Limited,Node.js Development,"Express.js , HTML , JavaScript , MongoDB , MySQL , Node.js","Selected intern's day-to-day responsibilities include: 

1. Node.js Development: 
a. Craft, test, and deploy top-tier web applications using Node.js and its frameworks 
b. Collaborate closely with interdisciplinary teams, including designers and fellow developers, to conceptualize, design, and launch innovative features 
c. Ensure the performance, security, and responsiveness of web applications built on Node.js 

2. Database Management: 
a. Design and manage databases, ensuring optimal performance and responsiveness 
b. Collaborate with team members and stakeholders to architect and design database structures 

3. Code Optimization: 
a. Write well-structured, efficient, and comprehensively documented code 
b. Identify and rectify bugs and performance constraints 

4. Integration: 
a. Seamlessly integrate data from various back-end services and databases 
b. Work collaboratively with developers to integrate user-facing elements through server-side logic 

5. API Development: 
a. Develop and maintain APIs to facilitate seamless communication between front-end and back-end systems 
b. Work in conjunction with multiple teams to comprehend and implement API prerequisites 

6. Version Control: Utilize version control systems (e.g., Git) to monitor changes and engage in collaborative development efforts 

7. Testing: 
a. Perform thorough testing of applications, pinpointing and rectifying defects 
b. Collaborate closely with quality assurance teams to ensure the ultimate quality of the end product 

8. Documentation: Create and update project documentation, encompassing technical specifications and user manuals. Express.js , HTML , JavaScript , MongoDB , MySQL , Node.js","₹ 5,000-7,000 /month",https://internshala.com/internship/detail/nodejs-development-internship-in-mumbai-at-nextgen-techno-ventures-private-limited1709554501
Mark Web Solutions,Web Development,"CMS , CSS , HTML , HTML&CSS , JavaScript , Webflow , WordPress","We are seeking a highly motivated and talented individual to join our team as a Junior Website Developer Intern. This is a fantastic opportunity for a recent graduate or someone looking to gain hands-on experience in web development. As a Junior Website Developer, you will work closely with our experienced development team on various projects.

Selected intern's day-to-day responsibilities include:

1. Develop and maintain websites using HTML, CSS, WordPress, Shopify, and Webflow.
2. Collaborate with the design team to implement website features and functionalities.
3. Ensure the technical feasibility of UI/UX designs.
4. Troubleshoot and resolve website issues.
5. Stay updated on industry trends and incorporate best practices into web development.. CMS , CSS , HTML , HTML&CSS , JavaScript , Webflow , WordPress","₹ 7,500 /month",https://internshala.com/internship/detail/web-development-internship-in-mumbai-at-mark-web-solutions1709554568
NextGen Techno Ventures Private Limited,Reactjs Development,"HTML , ReactJS , Redux , Tailwind CSS","Selected intern's day-to-day responsibilities include: 

1. Collaborate with the development team to design, develop, and maintain web applications using Next.js 
2. Assist in implementing user interfaces and improving user experience 
3. Write clean, efficient, and well-documented code 
4. Troubleshoot and debug applications to optimize performance 
5. Collaborate with cross-functional teams to define, design, and ship new features 
6. Stay up-to-date with emerging technologies and industry trends. HTML , ReactJS , Redux , Tailwind CSS","₹ 5,000-7,000 /month",https://internshala.com/internship/detail/reactjs-development-internship-in-mumbai-at-nextgen-techno-ventures-private-limited1709554672
Offiql Technologies Private Limited,Java Development,"AngularJS , Hibernate (Java) , Java , MySQL , Spring MVC","Selected intern's day-to-day responsibilities include:

1. Work on Java & Core Java
2. Work on object-oriented programming (OOP) concepts and patterns
3. Work on Java-based microservice architecture
4. Work on the project using Spring Java frameworks
5. Handle the service-oriented architecture/web services

Requirements:

1. Have some understanding of docker, and Gradle build tools
2. Understanding of the git version control system. AngularJS , Hibernate (Java) , Java , MySQL , Spring MVC","₹ 5,000-10,000 /month",https://internshala.com/internship/detail/work-from-home-java-development-internship-at-offiql-technologies-private-limited1709552758
ODN Digital Services Private Limited,Cataloging,"Data Analytics , MS-Excel , MS-Office","Selected intern's day-to-day responsibilities include: 

1. Analyzing of data.
2. Manage internal and external data. Data Analytics , MS-Excel , MS-Office","₹ 5,000-10,000 /month",https://internshala.com/internship/detail/cataloging-internship-in-delhi-at-odn-digital-services-private-limited1709549647
Mark Web Solutions,Junior Php Web Developer,"HTML&CSS , MySQL , PHP , React Native","We are excited to offer an internship opportunity for a Junior Web Developer to join our team. This position is ideal for a recent graduate or someone looking to gain hands-on experience in web development. As a Junior Web Developer Intern, you will be exposed to PHP, MySQL, WordPress, and Shopify development projects, working closely with our experienced team.

Selected intern's day-to-day responsibilities include:

1. Assist in the development, testing, and maintenance of web applications using PHP and MySQL.
2. Collaborate with the team on WordPress and Shopify website projects.
3. Learn and contribute to customizing and extending WordPress themes and plugins.
4. Participate in troubleshooting and debugging issues with existing websites.
5. Stay updated on industry trends and technologies.. HTML&CSS , MySQL , PHP , React Native","₹ 7,500 /month",https://internshala.com/internship/detail/junior-php-web-developer-internship-in-mumbai-at-mark-web-solutions1709550699
ESSI Integrated Technologies,"ML Engineering (MEng, PhD)","Apache Cassandra , Computer Vision , Data Science , Django , Image Processing , Machine Learning , Python , Redis","Selected intern's day-to-day responsibilities include:

1. Architectural Design & Planning: Lead the system's architectural design and planning, focusing on defining components, and interfaces, and ensuring scalability and reliability
2. Software Development Lifecycle Management: Manage the software development process from coding to deployment, including backend services, APIs, and data pipelines
3. Machine Learning & AI Integration: Integrate AI and machine learning for effective traffic violation detection and vehicle categorization
4. Database Design & Integration: Develop and implement database schemas and models, ensuring integration with systems like VAHAN
5. System Integration & Comprehensive Testing: Oversee the integration of hardware and software, followed by extensive testing for functionality and compliance
6. Deployment & Operational Support: Lead deployment and provide ongoing support, including troubleshooting and training for staff and stakeholders


NOTE: We may accept candidates who do not meet the Ph.D. or master's requirement but have demonstrated exceptional expertise in system design, have startup experience, and consider themselves a 10x engineer.. Apache Cassandra , Computer Vision , Data Science , Django , Image Processing , Machine Learning , Python , Redis","₹ 30,000 /month",https://internshala.com/internship/detail/ml-engineering-meng-phd-internship-in-delhi-at-essi-integrated-technologies1709551339
Rugas Technologies Private Limited,General Artificial Intelligence/Machine Learning,"Algorithms , Amazon Web Services (AWS) , Computer Vision , Machine Learning , Natural Language Processing (NLP) , Neural Networks , Python","Selected intern's day-to-day responsibilities include: 

1. Analyse and find LLM models that we can apply to our problem domain
2. Identify the training dataset, clean and augment the dataset
3. Do the training and improve the accuracy of the LLM usage
4. Come up with deployment options for the trained LLMs and further live training of the models
5. Work with Cloud Platforms like AWS to utilise their Gen AI services to build Gen AI applications.. Algorithms , Amazon Web Services (AWS) , Computer Vision , Machine Learning , Natural Language Processing (NLP) , Neural Networks , Python","₹ 15,000-20,000 /month",https://internshala.com/internship/detail/general-artificial-intelligence-machine-learning-internship-in-bangalore-at-rugas-technologies-private-limited1709550813
ESSI Integrated Technologies,"Fullstack Engineering (Django, ReactJS)","APIs , Computer Networking , Computer Networks , Django , Docker , Git , Information architecture , Nginx , Project Management , Python , ReactJS , Redis","We are seeking a skilled Fullstack Engineer with a strong focus on backend development and data engineering pipelines, proficient in Django and ReactJS. This role requires a deep understanding of building scalable web applications and developing efficient data processing pipelines. The ideal candidate will work closely with our Product Management team to translate complex requirements into functional, high-quality software solutions. This position offers a unique opportunity to contribute to critical aspects of project delivery, from initial design to final implementation, ensuring our solutions remain at the forefront of technology.

Selected intern's day-to-day responsibilities include:

1. Design and implement backend services using Django, focusing on performance, scalability, and security.
2. Develop and maintain frontend interfaces with ReactJS, ensuring a seamless and responsive user experience.
3. Architect and build data engineering pipelines to support data collection, processing, and analysis needs of various projects.
4. Collaborate with Product Managers to understand project requirements and contribute to the technical planning and strategy.
5. Ensure the integration of new technologies and methodologies to optimize development processes and product performance.
6. Participate in code reviews, maintain documentation, and adhere to best practices in software development.
7. Troubleshoot, debug, and upgrade existing systems as needed.
8. Contribute to the development of APIs for internal and external use.
9. Stay updated with emerging technologies and frameworks, applying them to improve existing systems and processes.. APIs , Computer Networking , Computer Networks , Django , Docker , Git , Information architecture , Nginx , Project Management , Python , ReactJS , Redis","₹ 30,000 /month",https://internshala.com/internship/detail/fullstack-engineering-django-reactjs-internship-in-delhi-at-essi-integrated-technologies1709551019
